Date,Region,Product,Units_Sold,Revenue
2024-08,North,Smartwatch,329,356307
2024-08,South,Laptop,147,58359
2024-08,South,Smartphone,444,769896
2024-08,South,Tablet,289,99127
2024-08,South,Headphones,146,207904
2024-08,South,Smartwatch,173,66778
2024-08,East,Laptop,375,248625
2024-08,East,Smartphone,398,793612
2024-08,East,Tablet,197,189711
2024-08,East,Headphones,492,296184
2024-08,East,Smartwatch,395,684930
2024-08,West,Laptop,196,268716
2024-08,West,Smartphone,401,775534
2024-08,West,Tablet,357,245616
2024-08,West,Headphones,466,868158
2024-08,West,Smartwatch,88,47256
2024-09,North,Laptop,409,343560
2024-09,North,Smartphone,316,212352
2024-09,North,Tablet,483,169050
2024-09,North,Headphones,464,705744
2024-09,North,Smartwatch,148,68376
2024-09,South,Laptop,301,103243
2024-09,South,Smartphone,395,325085
2024-09,South,Tablet,109,117720
2024-09,South,Headphones,51,55896
2024-09,South,Smartwatch,353,159909
2024-09,East,Laptop,189,123228
2024-09,East,Smartphone,86,118938
2024-09,East,Tablet,58,84448
2024-09,East,Headphones,148,278536
2024-09,East,Smartwatch,353,143671
2024-09,West,Laptop,180,108540
2024-09,West,Smartphone,201,50853
2024-09,West,Tablet,169,320424
2024-09,West,Headphones,457,377939
2024-09,West,Smartwatch,124,229152
2024-10,North,Laptop,469,771505
2024-10,North,Smartphone,153,69309
2024-10,North,Tablet,276,368460
2024-10,North,Headphones,148,52096
2024-10,North,Smartwatch,398,442974
2024-10,South,Laptop,433,466341
2024-10,South,Smartphone,387,746523
2024-10,South,Tablet,359,497574
2024-10,South,Headphones,257,297092
2024-10,South,Smartwatch,218,78480
2024-10,East,Laptop,117,117000
2024-10,East,Smartphone,447,670500
2024-10,East,Tablet,353,609631
2024-10,East,Headphones,433,699295
2024-10,East,Smartwatch,184,260912
2024-10,West,Laptop,450,377550
2024-10,West,Smartphone,82,72734
2024-10,West,Tablet,492,329148
2024-10,West,Headphones,424,527880
2024-10,West,Smartwatch,287,543291
2024-11,North,Laptop,87,37323
2024-11,North,Smartphone,414,315468
2024-11,North,Tablet,487,973513
2024-11,North,Headphones,332,75032
2024-11,North,Smartwatch,275,412500
2024-11,South,Laptop,335,613720
2024-11,South,Smartphone,333,358974
2024-11,South,Tablet,497,846888
2024-11,South,Headphones,366,371490
2024-11,South,Smartwatch,196,340844
2024-11,East,Laptop,84,118860
2024-11,East,Smartphone,98,170030
2024-11,East,Tablet,66,92070
2024-11,East,Headphones,269,96033
2024-11,East,Smartwatch,95,151620
2024-11,West,Laptop,55,16390
2024-11,West,Smartphone,429,844272
2024-11,West,Tablet,86,41194
2024-11,West,Headphones,398,277008
2024-11,West,Smartwatch,351,133380
2024-12,North,Laptop,144,190368
2024-12,North,Smartphone,237,282504
2024-12,North,Tablet,165,64350
2024-12,North,Headphones,302,356360
2024-12,North,Smartwatch,465,643560
2024-12,South,Laptop,305,471530
2024-12,South,Smartphone,177,38409
2024-12,South,Tablet,330,646140
2024-12,South,Headphones,103,79207
2024-12,South,Smartwatch,372,329220
2024-12,East,Laptop,329,271425
2024-12,East,Smartphone,337,354861
2024-12,East,Tablet,200,232200
2024-12,East,Headphones,176,62304
2024-12,East,Smartwatch,435,428040
2024-12,West,Laptop,153,247248
2024-12,West,Smartphone,348,154860
2024-12,West,Tablet,225,283950
2024-12,West,Headphones,219,209802
2024-12,West,Smartwatch,75,84000
